Year, Number of marriages,Crude marriage rate (0.00001),Number of divorces,Crude divorce rate (0.00001),
2001,544322,836,91994,141,
2002,510155,773,95323,144,
2003,565468,846,92637,139,
2004,615357,909,91022,134,
2005,641241,935,95895,140,
2006,636121,917,93489,135,
2007,638311,909,94219,134,
2008,641973,903,99663,140,
2009,591742,821,114162,158,
2010,582715,798,118568,162,
2011,592775,802,120117,162,
2012,603751,803,123325,164,
2013,600138,789,125305,165,
2014,599704,780,130913,170,
2015,602982,771,131830,169,
Total,8966755,12592,1618462,2257,
Average,597783,67,839,47,107897,47,150,47,
The number of the ones who are greater than avareage,9,6,7,7,
The sum of the ones who are lower than average,3387177,7173,754242,1107,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
